atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,repImgUrl,repImgTpCd,repImgThumb,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrMaxPrc2,sameAddrMinPrc2,sellrNm
2426784099,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,2/18,71000,0,"7억 1,000",77,52.85,남동향,24.05.31.,,,,37.517163,126.846212,"세련된 화이트톤 인테리어,확장,에어컨,편의시설인접,입주협의","['4년이내', '대단지', '방두개', '화장실한개']",306동,0,32,0,24A01A1Nc524506f424eee090977ff831fe21c19707f5c9a0316b35f6b876f39ae464304,"7억 1,000","7억 1,000",SERVE,부동산써브,6,이안부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426762007,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,2/22,90000,0,9억,85,59.88,남동향,24.05.31.,,,,37.516711,126.842697,조건좋은 갭투 저층이지만 개방감좋은 로얄동 에어컨,"['4년이내', '대단지', '방세개', '화장실두개']",108동,0,7,0,23A01A1N5c4cfc31a304f1b68e6a105bb9c87f10eef790e0f2a2692d97ddc3e24e02efa1,9억,9억,bizmk,매경부동산,2,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426751947,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B2,월세,OWNER,12/16,40000,100,4억,110,84.98,남향,24.05.31.,,,,37.516176,126.845508,무융자 탁트인공원뷰 시스템4대  채광좋은집 이사협의가능,"['4년이내', '융자금없는', '대단지', '방세개']",303동,0,23,0,25A01B2N9e264eb610e7991e4b7fecd1c60fbef0e255a317fc9d100a7aefc0f4196f6ebe,"4억 3,000",4억,bizmk,매경부동산,7,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,80,100,
2426765783,1147010300,신월신도1차,R0,A01,A01,아파트,A1,매매,OWNER,5/15,70000,0,7억,105,84.85,남서향,24.05.31.,,,,37.518112,126.846023,"수리되어 상태깨끗, 밝고환한집, 주인거주로 입주협의","['25년이내', '방세개', '화장실두개', '세대당1대']",103동,0,15,0,28A01A1Necb1559a0108ab2414d0dc5f6db27529aaa698416fb6dc634602e3c719a4ac25,"7억 5,000",7억,asil,아실,2,롯데캐슬공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'asil', 'mobileArticleUrl': 'https://asil.kr/app/sale_info.jsp?UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426753068,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B2,월세,OWNER,2/21,35000,120,"3억 5,000",110,84.97,남동향,24.05.31.,,,,37.517553,126.843391,"융자무,확장,시스템에어컨3대,장기거주가능,생활편리선호단지,정상입주","['4년이내', '융자금없는', '대단지', '방세개']",404동,0,3,0,24A01B2Nfe1470ad0d858a5c40a5cc6cfa9e63fdbc765150a742f3cac7199c251442422a,"3억 5,000","3억 5,000",ten,텐컴즈,3,해뜨는부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,120,120,
2426762022,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B2,월세,OWNER,8/18,30000,100,3억,85,59.88,남향,24.05.31.,,,,37.515708,126.845523,영구사계절공원뷰 빠른입주가능 에어컨2 추천,"['4년이내', '융자금없는', '대단지', '방세개']",304동,0,11,0,24A01B2Ne541bf8e210f3ccb794247608d32d863671ee11ada5df2b9b21811592681f1f0,3억,3억,bizmk,매경부동산,4,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,110,100,
2426753478,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,8/18,72000,0,"7억 2,000",77,52.85,남동향,24.05.31.,,,,37.517163,126.846212,급.매.진.행. 입주또는  3억이하갭투가능 매매가 조정 개방감 뷰 좋은집,"['4년이내', '대단지', '방두개', '화장실한개']",306동,0,36,0,24A01A1N16882d27f23359846f5251c45f093a9799a6e84199955dd9c56c86721e4a792f,"7억 2,000","7억 1,000",bizmk,매경부동산,8,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426770834,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,2/17,102000,0,"10억 2,000",110,84.98,남동향,24.05.31.,,,,37.516657,126.841312,급.매.진.행.단지 공원 예쁜집 저층이지만  채광좋은집  집상태최상,"['4년이내', '대단지', '방세개', '화장실두개']",102동,0,45,0,23A01A1N9f9c0017a3d19895bb1a5ba23b30164dd07691ab0929acdaeddc7fb2b56bc44c,"10억 2,000","10억 2,000",bizmk,매경부동산,8,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426745966,1147010300,신정뉴타운두산위브,R0,A01,A01,아파트,A1,매매,OWNER,4/20,77000,0,"7억 7,000",78,59.78,남향,24.05.31.,,,,37.519301,126.845055,"빠른입주 환영.확장형,깨끗.남향집  밝고 환해요","['15년이내', '방세개', '화장실두개', '세대당1대']",101동,0,19,0,23A01A1N9e1444949f3c7db7478c26028c7149ba2518e659d8980983fd4525ec4ccfbade,"7억 7,000","7억 7,000",ten,텐컴즈,5,강서공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426778078,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B2,월세,OWNER,14/19,10000,180,1억,84,59.68,남동향,24.05.31.,,,,37.517187,126.842444,25남동 탁트이고해잘드는집 확장 편의시설인접 주방베란다넓음,"['4년이내', '융자금없는', '대단지', '방세개']",104동,0,29,0,24A01B2N3458657a07fc06cac2f106b8338a3186ed9e0ef5e1defb905e1c3f48baab8b71,1억,1억,bizmk,매경부동산,8,신곡공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,180,180,
2426657887,1147010300,스카이캐슬,R0,A01,A01,아파트,A1,매매,NDOC1,9/14,43500,0,"4억 3,500",67,52.82,남향,24.05.31.,,,,37.520542,126.844645,2020년식.깔끔하고트인남향집.전세안고,"['10년이내', '방세개', '화장실두개', '중층']",1동,0,3,0,23A01A1N0974c3f316d88fc14364d8e1ac65d7d7897bd4c8c45cc3570c7f230e65145a2b,"4억 3,500","4억 3,500",ten,텐컴즈,2,온누리공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
