area,lat,lng,road_address,address
74,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
75,37.478636,127.060953,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
76,37.483502,127.062453,서울특별시 강남구 선릉로8길 24,서울 강남구 개포동 160-2
77,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
78,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
79,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
80,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
81,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
82,37.481919,127.057858,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
83,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
84,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
85,37.478524,127.059948,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
86,37.47819,127.057312,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
87,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
88,37.482462,127.056707,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
89,37.483712,127.062398,서울특별시 강남구 선릉로8길 25,서울 강남구 개포동 162-4
90,37.483685,127.06272,서울특별시 강남구 선릉로8길 28,서울 강남구 개포동 160-4
91,37.483685,127.06272,서울특별시 강남구 선릉로8길 28,서울 강남구 개포동 160-4
92,37.482762,127.061977,서울특별시 강남구 선릉로6길 12,서울 강남구 개포동 158-4
93,37.483685,127.06272,서울특별시 강남구 선릉로8길 28,서울 강남구 개포동 160-4
94,37.483065,127.061499,서울특별시 강남구 선릉로8길 9,서울 강남구 개포동 165-5
95,37.483622,127.061511,서울특별시 강남구 선릉로10길 18-4,서울 강남구 압구정동 397
96,37.483611,127.06133,서울특별시 강남구 선릉로10길 16,서울 강남구 개포동 164-9
97,37.482943,127.058896,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
98,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
99,37.483418,127.062335,서울특별시 강남구 선릉로8길 22,서울 강남구 개포동 160-1
100,37.484224,127.061806,서울특별시 강남구 선릉로18길 38,서울 강남구 개포동 169-7
101,37.479794,127.060753,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
102,37.47849,127.059135,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
103,37.479794,127.060753,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
104,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
105,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
106,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
107,37.482961,127.056781,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
108,37.477207,127.057147,서울특별시 강남구 개포로 310,서울 강남구 압구정동 397
109,37.482494,127.058348,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
110,37.479332,127.058767,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
111,37.482494,127.058348,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
112,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
113,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
114,37.483611,127.06133,서울특별시 강남구 선릉로10길 16,서울 강남구 개포동 164-9
115,37.482993,127.060801,서울특별시 강남구 선릉로10길 4-4,서울 강남구 개포동 167-1
116,37.477817,127.060435,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
117,37.483098,127.060671,서울특별시 강남구 선릉로10길 4,서울 강남구 개포동 167
118,37.481919,127.057858,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
119,37.480641,127.057691,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
120,37.482861,127.062115,서울특별시 강남구 선릉로6길 14,서울 강남구 개포동 158-5
121,37.477817,127.060435,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
122,37.484304,127.060844,서울특별시 강남구 선릉로14길 19,서울 강남구 개포동 171-10
123,37.484304,127.060844,서울특별시 강남구 선릉로14길 19,서울 강남구 개포동 171-10
124,37.483685,127.06272,서울특별시 강남구 선릉로8길 28,서울 강남구 개포동 160-4
125,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
126,37.48312,127.061137,서울특별시 강남구 선릉로10길 10-6,서울 강남구 개포동 166-2
127,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
