atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2426241601,성내삼성,아파트,매매,3/19,85000,0,"8억 5,000",85,59.88,남동향,37.532682,127.126328,"특올수리,세안고,거실확장,강동구청역7분거리,재래시장인접","['25년이내', '올수리', '대단지', '방세개']",102동,송파구 풍납2동
2427107825,트레벨,오피스텔,매매,5/15,14000,0,"1억 4,000",53,28.43,동향,37.537247,127.129466,,"['25년이내', '역세권', '화장실한개', '소형평수']",1동,송파구 풍납2동
2427264018,기타,빌라,월세,5/17,1000,80,"1,000",33,17.09,서향,37.53833,127.128077,YH 넉넉한 수납공간 빠른지하철도보 4분 더블역세권,"['4년이내', '융자금적은', '역세권']",,송파구 풍납2동
2427332261,일반상가,상가,월세,1/4,1000,65,"1,000",38,38,,37.532616,127.129797,성내2동 주민센터 인근 저렴한 상가,"['25년이상', '1층', '총4층']",,송파구 풍납2동
2427125629,중앙(주상복합),아파트,매매,3/7,110000,0,11억,177,165.28,동향,37.531406,127.130416,예전수리되여상태깨끗 구조굿 편의시설이 가까이있어서 살기좋음 전세안고매매,"['25년이상', '필로티', '대형평수', '방네개이상']",1동,송파구 풍납2동
2427060538,성내삼성,아파트,매매,17/19,89500,0,"8억 9,500",85,59.88,남향,37.532361,127.126683,"상태깨끗,남향,롯데타워전망,초중고인접,강동구청역7분거리,전통시장인접","['25년이내', '대단지', '방세개', '화장실한개']",101동,송파구 풍납2동
2427132295,이안강동컴홈스테이2차,오피스텔,매매,11/13,23500,0,"2억 3,500",50,24.99,남동향,37.537566,127.128664,신축대로변 풀옵션 이안2차 급매 고층 세안고 천호역 강동역 도보,"['4년이내', '역세권', '복층', '급매']",1동,송파구 풍납2동
2427484400,성내삼성,아파트,전세,중/19,53000,0,"5억 3,000",85,59.88,남향,37.531911,127.126869,"남향로얄층,탁트인전망,수리됨 9월입주협의","['25년이내', '융자금없는', '대단지', '방세개']",104동,송파구 풍납2동
2427250965,도시형생활주택,원룸,월세,중/16,1000,90,"1,000",23,14.41,동향,37.53833,127.128077,R렌트프리1개월 신축 첫입주 전입신고 복층 원룸 풀옵션,"['4년이내', '역세권', '복층']",,송파구 풍납2동
2427121790,일반원룸,원룸,월세,2/5,3000,80,"3,000",26,23.1,북서향,37.534065,127.128227,"애완가능, 신축급, 역세권 분리형 원룸","['2년이내', '역세권', '세대분리']",,송파구 풍납2동
2425493021,미사아름채(도시형),아파트,월세,6/16,17000,25,"1억 7,000",22,12.62,동향,37.538436,127.128269,천호역 풀옵션 복층 원룸 각종대출O 보증보험O 주차O,"['10년이내', '융자금없는', '역세권']",1동,송파구 풍납2동
2425307685,일반원룸,원룸,월세,1/4,3000,65,"3,000",30,27,남서향,37.532971,127.130128,풀옵션 1.5룸 빠른입주가능 2년차신축,"['4년이내', '1층', '화장실한개']",,송파구 풍납2동
2425292880,힐스테이트천호역젠트리스(주상복합),아파트,전세,35/45,80000,0,8억,122,84.84,남동향,37.53728,127.125552,"신축첫입주, 천호역 더블역세권, 최고의 생활인프라","['2년이내', '융자금없는', '역세권', '방세개']",A동,송파구 풍납2동
2425515634,일반상가,상가,월세,1/6,3000,180,"3,000",99,72.7,서향,37.533452,127.12344,0 현장 사진 0 강동구청역 6분 0 무권리 0 이차선 도로,"['25년이내', '융자금없는', '역세권', '1층']",,송파구 풍납2동
2426581151,이안강동(주상복합),아파트,매매,5/12,90000,0,9억,110,84.98,동향,37.535605,127.127969,,"['25년이내', '역세권', '방세개', '화장실두개']",1동,송파구 풍납2동
2425519294,일반상가,상가,월세,3/4,1000,75,"1,000",36,36.36,남동향,37.537681,127.130993,MY파트너 실사有／착한임대료／실11P／강동초역세권／,"['25년이상', '융자금없는', '역세권', '고층']",,송파구 풍납2동
2425281704,천호브라운스톤,오피스텔,매매,14/15,44000,0,"4억 4,000",119,59.9,서향,37.538078,127.123685,천호역세권 풀옵션오피스텔 한강조망 굿,"['25년이내', '역세권', '방한개']",1동,송파구 풍납2동
2425529265,중소형사무실,사무실,월세,3/6,2500,200,"2,500",103,89,북향,37.537402,127.124462,MY파트너 실사有／천호역도보2분／전용27P／층단독사용／확트인뷰,"['25년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425511995,빌라,빌라,매매,5/6,33000,0,"3억 3,000",36,31.33,서향,37.533311,127.129646,강동역 신축급 2룸 실15사용 병렬주차 입주협의 엘베유,"['10년이내', '역세권', '소형평수', '방두개']",,송파구 풍납2동
2425487626,다가구,단독/다가구,매매,5/-,187000,0,"18억 7,000",132,264.55,남향,37.532539,127.130032,강동역  상가단독다가구 깔끔한 주택 매매,"['10년이내', '방네개이상', '화장실네개이상', '주차가능']",,송파구 풍납2동
2425447926,단지내상가,상가,월세,1/15,10000,400,1억,87,43.87,북서향,37.537982,127.123801,천호역 입구 무권리 1층 상가,"['25년이내', '융자금없는', '역세권', '1층']",,송파구 풍납2동
2425427814,힐스테이트천호역젠트리스,오피스텔,월세,21/23,1000,90,"1,000",48,17.04,북향,37.537204,127.125755,단기.보증금조정OK 고층 조망최고 귀한 신축풀옵션,"['2년이내', '융자금없는', '역세권']",B동,송파구 풍납2동
2425471762,일반상가,상가,월세,1/5,2000,190,"2,000",49,49.61,북향,37.53534,127.130152,"복층구조, 감각적인 인테리어, 전면통창으로 가시성 좋은 1층상가매물입니다","['10년이내', '융자금적은', '역세권', '1층']",,송파구 풍납2동
2425396440,힐스테이트천호역젠트리스,오피스텔,전세,22/23,33800,0,"3억 3,800",86,30.59,북동향,37.537204,127.125755,천호역세권첫입주풀옵션 1.5룸 자주식주차O,"['2년이내', '융자금없는', '역세권']",B동,송파구 풍납2동
2425530192,빌라,빌라,매매,3/4,23000,0,"2억 3,000",49,43.88,서향,37.533576,127.128751,파트너 집주인확인／강동역세권／방2 주차가능／내부깔끔한집,"['25년이내', '소형평수', '방두개']",,송파구 풍납2동
2425455962,일반상가,상가,월세,2/2,5000,300,"5,000",89,89.26,남동향,37.538349,127.126765,"로데오 입구 무권리 2층 27p, 50p 상가 임대","['25년이상', '융자금없는', '역세권', '고층']",,송파구 풍납2동
2425407654,일반원룸,원룸,월세,2/8,10000,35,1억,59,30,남동향,37.53658,127.123252,준신축 1.5룸 월세 l 풀옵션 l 주차가능 l 엘베있음 l 융자무,"['10년이내', '융자금없는', '역세권']",,송파구 풍납2동
2425450767,대형사무실,사무실,월세,5/12,2000,65,"2,000",37,19.85,북향,37.537159,127.125845,＊＊강동구 랜드마크 더블역세권천호역앞 신축 오피스 ,"['2년이내', '역세권', '중층', '주차가능']",,송파구 풍납2동
2425167992,엘림스퀘어1,오피스텔,매매,10/15,19000,0,"1억 9,000",25,17.92,남동향,37.537962,127.128812,역세권 풀옵션 오피,"['10년이내', '역세권', '복층', '화장실한개']",1동,송파구 풍납2동
2425281363,천호브라운스톤,오피스텔,월세,14/15,3000,145,"3,000",119,59.9,서향,37.538078,127.123685,천호역세권 풀옵션 업무용오피스텔 한강조망 굿,"['25년이내', '융자금없는', '역세권']",1동,송파구 풍납2동
2427203631,중소형사무실,사무실,월세,2/4,2000,100,"2,000",69,60,북향,37.532127,127.12427,0 현장사진 0 강동구청역 5분 0 리모델링 0 주차 0,"['25년이상', '역세권', '중층', '관리비10만원이하']",,송파구 풍납2동
2427245644,다가구,단독/다가구,월세,2/2,500,45,500,33,33.06,남향,37.534179,127.129216,강동역 도보 5분 지상층 밝고 환한 남향 분리형 풀옵션 원룸 월세,"['25년이상', '융자금없는', '역세권', '세대분리']",,송파구 풍납2동
2427228423,일반상가,상가,월세,1/2,1000,105,"1,000",19,19.8,북향,37.538443,127.131086,강동역 역세권 아파트밀집 1층상가 천호로데오 도보가능,"['25년이상', '역세권', '1층', '관리비10만원이하']",,송파구 풍납2동
2427244275,빌라,빌라,월세,고/15,16800,15,"1억 6,800",22,15.59,동향,37.537992,127.128905,"HUG버팀목, 보증보험, 중기청, 천호역5분, 신축6년차, 풀옵션","['10년이내', '융자금없는', '역세권']",,송파구 풍납2동
2427244702,빌라,빌라,월세,고/15,16800,15,"1억 6,800",22,15.59,동향,37.537992,127.128905,"HUG버팀목, 보증보험, 중기청, 천호역5분, 신축6년차, 풀옵션","['10년이내', '융자금없는', '역세권']",,송파구 풍납2동
2427244914,빌라,빌라,매매,중/5,25000,0,"2억 5,000",60,55.52,남향,37.531883,127.129575,전체 리모델링된 방3 저렴한 빌라 사정상 급매,"['25년이상', '급매', '소형평수', '방세개']",,송파구 풍납2동
2427246661,중소형사무실,사무실,월세,7/23,3000,140,"3,000",76,40.51,남향,37.537159,127.125845,신축 첫입주 지하주차장 있는 깔끔한 사무실,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",,송파구 풍납2동
2427186646,단지내상가,상가,매매,1/24,70000,0,7억,80,59.16,북서향,37.538155,127.130007,,"['25년이내', '역세권', '1층', '관리비10만원이하']",,송파구 풍납2동
2427246473,일반상가,상가,월세,1/2,1000,120,"1,000",61,26.4,서향,37.536283,127.126991,권리저렴 천호역도보5분 먹자골목 맛집 유동인구많음,"['25년이상', '융자금없는', '역세권', '1층']",,송파구 풍납2동
2427201513,일반상가,상가,월세,3/7,5000,350,"5,000",66,66.1,남향,37.535173,127.124437,천호역에서 가까움,"['15년이내', '역세권', '중층', '주차가능']",,송파구 풍납2동
2427182810,빌라,빌라,월세,2/2,2000,70,"2,000",49,49.5,동향,37.535836,127.126816,"전용 넓은 3룸. 천호역역세권. 주차불가, 입주협의가능","['25년이상', '융자금없는', '역세권']",,송파구 풍납2동
2427178273,상가주택,상가주택,월세,2/4,8000,110,"8,000",95,95.74,남향,37.53372,127.126335,"5, 8호선 환승 천호역 도보 5분 엄청 넓은 리모델링된 깨끗한 집 전세","['25년이상', '융자금없는', '방네개이상']",,송파구 풍납2동
2427202289,일반상가,상가,월세,1/4,1500,80,"1,500",36,29.7,남향,37.533129,127.127955,0 무권리 0 강동역 7분 0 수도.주차 0 깔끔한 업종,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",,송파구 풍납2동
2427166376,빌라,빌라,월세,2/2,2000,70,"2,000",49,49.5,서향,37.535836,127.126816,방3화장실1 협의입주 주차불가 ,"['25년이상', '역세권', '소형평수']",,송파구 풍납2동
2427157315,일반상가,상가,월세,1/3,1000,80,"1,000",35,33.1,남서향,37.531413,127.129347,유동인구 많은지역 1층 무권리 상가,"['25년이상', '1층', '주차가능', '총3층']",,송파구 풍납2동
2427245781,일반상가,상가,월세,2/10,15000,630,"1억 5,000",242,140,남동향,37.53851,127.125128,HA 강동 송파 상가 사무실 대로변 전면부호실,"['25년이상', '융자금적은', '역세권', '지상층(1층제외)']",,송파구 풍납2동
2427237898,빌라,빌라,매매,고/4,27000,0,"2억 7,000",51,46.31,동향,37.531766,127.129516,전체 리모델링된 저렴한 빌라 사정상 급매,"['25년이상', '급매', '소형평수', '방세개']",,송파구 풍납2동
2427200702,일반상가,상가,월세,1/4,1000,70,"1,000",42,33,동향,37.53346,127.130427,0 현장사진 0 강동역 5분 0 무권리 0 주차 0 추천,"['25년이상', '역세권', '1층', '주차가능']",,송파구 풍납2동
2427054004,단독,단독/다가구,매매,2/-,96000,0,"9억 6,000",106,129.52,북서향,37.532775,127.129775,성내2동사무소주변단독주택,"['25년이상', '방네개이상', '화장실두개', '북서향']",,송파구 풍납2동
