atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2424087746,일반상가,상가,매매,3/5,65000,0,"6억 5,000",190,120.06,남향,37.477465,127.12735,급매 지하철 역 앞 유동인구 많은 상가 교통 편리 투자가치 높음,"['25년이내', '역세권', '급매', '중층']",,송파구 장지동
2425182636,송파파인타운10단지,아파트,매매,저/17,115000,0,"11억 5,000",82,59.96,남동향,37.477504,127.13025,"추천 25,세안고,인기판상형,초역세권,교통편리, 조망 막힘 없음","['25년이내', '역세권', '방세개', '화장실두개']",1001동,송파구 장지동
2424955315,송파파인타운6단지,아파트,매매,고/20,135000,0,"13억 5,000",105,84.98,남서향,37.480935,127.131307,역세권 올수리확장 집상태최상 조망좋아요 주인거주 내부깨끗 초중고도서관인접,"['25년이내', '올수리', '방세개', '화장실두개']",603동,송파구 장지동
2422202536,송파파인타운8단지,아파트,월세,고/20,50000,60,5억,83,59.97,남동향,37.479686,127.128008,"장지역 초역세권,신혼부부추천,360VR찰영해서 관리하는 사무실","['25년이내', '역세권', '방세개', '화장실두개']",804동,송파구 장지동
2423064183,단지내상가,상가,매매,1/1,52000,0,"5억 2,000",35,35.92,동향,37.484044,127.131203,,"['25년이내', '1층', '주차가능', '동향']",,송파구 장지동
2423090880,송파파인타운5단지,아파트,매매,고/20,140000,0,14억,109,84.93,남동향,37.480127,127.129236,최근수리된 올확장 된 좋은집 입니다 적극추천합니다,"['25년이내', '역세권', '방세개', '화장실두개']",501동,송파구 장지동
2422494750,단지내상가,상가,월세,B1/5,15000,700,"1억 5,000",845,343.79,동향,37.477043,127.127465,VIVA청춘 스프링쿨러완비 바로입주가능 높은층고,"['25년이내', '역세권', '지하층', '주차가능']",,송파구 장지동
2422270003,복합상가,상가,월세,1/5,5000,300,"5,000",90,46.41,동향,37.477255,127.127415,소유자 단독 장지역 초역세권 대로변 송파파인타운 항아리 상권,"['25년이내', '융자금없는', '역세권', '1층']",,송파구 장지동
2422102850,송파파인타운6단지,아파트,매매,고/20,130000,0,13억,105,84.93,남향,37.480935,127.131307,앞뒤특급조망 인기통풍구조 상태깨끗 입주가능 역세권 도서관공원인접,"['25년이내', '방세개', '화장실두개', '고층']",603동,송파구 장지동
2427551698,송파파인타운10단지,아파트,전세,고/18,63000,0,"6억 3,000",82,59.96,남동향,37.478195,127.131146,"25 전세, 역세권, 판상형, 채광굿, 밝고깨끗, 편의시설인접","['25년이내', '방세개', '화장실두개', '고층']",1004동,송파구 장지동
