atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427408730,신구,오피스텔,월세,10/13,2000,65,"2,000",54,36.48,서향,37.538545,127.135674,강동역 7분거리,"['25년이상', '역세권', '소형평수', '방한개']",1동,송파구 풍납1동
2427477455,강동역신동아파밀리에(주상복합),아파트,매매,29/41,130000,0,13억,144,107.34,남향,37.536616,127.133071,확트인 월드타워뷰. 남향. 강동역바로연결. 편리한생활보장.,"['10년이내', '역세권', '대형평수', '방네개이상']",1101동,송파구 풍납1동
2427401843,진넥스빌Ⅲ(주상복합),아파트,매매,3/15,70000,0,7억,88,75.43,남향,37.536136,127.132805,특올수리. 베란다. 수납넉넉. 층간소음걱정NO. 강동역바로,"['25년이내', '올수리', '역세권']",1동,송파구 풍납1동
2427331089,래미안강동팰리스(주상복합),아파트,매매,3/45,133000,0,"13억 3,000",121,84.97,남서향,37.537341,127.132464,사계절 예쁜뷰. 호텔급 커뮤니티시설. 헬스사우나무료 .갭투.보안철저,"['10년이내', '역세권', '필로티', '방세개']",103동,송파구 풍납1동
2427354478,강동역신동아파밀리에(주상복합),아파트,전세,8/41,82000,0,"8억 2,000",144,107.34,남향,37.536763,127.133567,올수리. 풀시스템에어컨. 남향. 강동역 바로연결.,"['10년이내', '올수리', '역세권', '대형평수']",1102동,송파구 풍납1동
2427428032,강동렘브란트(도시형),아파트,월세,14/14,10350,10,1억 350,26,15.86,서향,37.535042,127.137265,"풀옵션, 전망최고, 교통편리,보증보험 가능","['15년이내', '역세권', '화장실한개', '소형평수']",1동,송파구 풍납1동
2427348300,래미안강동팰리스(주상복합),아파트,매매,44/45,150000,0,15억,121,84.97,남향,37.537341,127.132464,강동역직결.남향끼고 볕좋은 뻥뚫린 고층뷰. 사우나 피트니스 커뮤니티이용,"['10년이내', '역세권', '방세개', '화장실두개']",103동,송파구 풍납1동
2427488000,강동역신동아파밀리에(주상복합),아파트,매매,34/41,119000,0,"11억 9,000",126,94.61,남동향,37.536763,127.133567,BEST 확트인전망 뻥뷰 일자산 조망 룸4개 로얄층  입주  소액갭투가능,"['10년이내', '역세권', '방네개이상', '화장실두개']",1102동,송파구 풍납1동
2427354889,SK허브진(주상복합),아파트,매매,5/15,33000,0,"3억 3,000",44,33.71,서향,37.535197,127.132556,"입주,갭투 1.5룸 강동초역세권부분수리 임대수요풍부","['25년이내', '역세권', '소형평수', '방한개']",1동,송파구 풍납1동
2427456790,포유르센티길동,오피스텔,전세,10/18,20000,0,2억,27,15.42,남향,37.535363,127.137769,"신축오피스텔 귀한 전세 , 초역세권 오피스텔","['2년이내', '역세권', '복층']",1동,송파구 풍납1동
2427414539,래미안강동팰리스(주상복합),아파트,매매,38/44,145000,0,"14억 5,000",121,84.97,남향,37.537847,127.131635,롯데타워한강뷰.  강동역바로. 갭투자.,"['10년이내', '역세권', '방세개', '화장실두개']",102동,송파구 풍납1동
2427508255,SM엘루이(주상복합),아파트,전세,10/13,18740,0,"1억 8,740",24,14.83,서향,37.532945,127.137508,보증금 전액 보험가능한 원룸 강동역5분  근저당 무,"['10년이내', '융자금없는', '화장실한개', '소형평수']",1동,송파구 풍납1동
