atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2424807142,잠실엘스,아파트,매매,고/29,325000,0,"32억 5,000",149,119.93,남향,37.515162,127.084158,BEST45 특한강뷰 남향 전체확장 눈부신햇살 추가금액조정해드려요,"['25년이내', '역세권', '대단지', '대형평수']",133동,송파구 잠실3동
2424791515,트리지움,아파트,매매,저/24,192000,0,"19억 2,000",84,59.88,남서향,37.510754,127.087608,"25형,초역세,확장,관리 잘 되고 조망 예쁜 급매매 419삼삼영영","['25년이내', '역세권', '대단지', '급매']",307동,송파구 잠실3동
2424823204,리센츠,아파트,매매,저/28,230000,0,23억,109,84.99,남동향,37.512907,127.089728,33  역세권최저급매 인테리어기간협의 넓은동간격 채광환기좋아요,"['25년이내', '역세권', '대단지', '급매']",241동,송파구 잠실3동
2424801112,리센츠,아파트,전세,저/29,120000,0,12억,109,84.99,남서향,37.513143,127.086171,33.최저가전세 올확장 입주협의 강추  초역세권  교통생활편리함,"['25년이내', '융자금없는', '역세권', '대단지']",223동,송파구 잠실3동
2424816705,리센츠,아파트,전세,저/27,130000,0,13억,109,84.99,남동향,37.515114,127.087326,33 올확장 최근화이트특올수리 초록정원뷰 학교인근조용한동,"['25년이내', '올수리', '역세권', '대단지']",216동,송파구 잠실3동
2424913811,잠실엘스,아파트,매매,저/26,205000,0,"20억 5,000",84,59.96,남서향,37.513127,127.083176,25 초역세권 1순위 최고로얄동남향 입지최상생활편리 집넓고 좋아요 따뜻,"['25년이내', '역세권', '대단지', '방세개']",118동,송파구 잠실3동
2424918459,잠실엘스,아파트,매매,고/26,250000,0,25억,111,84.8,남동향,37.512888,127.082648,엘스33 내부인테리어 깔끔 상가 이용 편리,"['25년이내', '역세권', '대단지', '방세개']",116동,송파구 잠실3동
2424879589,잠실엘스,아파트,월세,저/29,75000,120,"7억 5,000",109,84.88,남향,37.512159,127.081548,9호선 역세권 올확장 내부깔끔 입주 협의,"['25년이내', '역세권', '대단지', '방세개']",111동,송파구 잠실3동
2424918427,잠실엘스,아파트,월세,고/23,75000,145,"7억 5,000",111,84.8,남동향,37.51487,127.083709,엘스33 학부형이 선호하는동  조용한동,"['25년이내', '융자금없는', '역세권', '대단지']",132동,송파구 잠실3동
2424907568,잠실엘스,아파트,매매,고/29,325000,0,"32억 5,000",149,119.93,남서향,37.515162,127.084158,엘스45 1순위매매 인테리어 파노라마한강뷰 앞뒤트인개방감 최상컨디션최상,"['25년이내', '역세권', '대단지', '대형평수']",133동,송파구 잠실3동
