atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2426528606,다가구,단독/다가구,월세,2/3,18000,29,"1억 8,000",85,85.02,남향,37.504335,127.134875,"채광좋음, 3년전 올수리, 대출 O, 주차O, 방3, 화1","['25년이상', '융자금적은', '올수리']",,송파구 오금동
2426416417,빌라,빌라,매매,고/6,40000,0,4억,55,35.32,남서향,37.506489,127.133462,"병렬주차, 막힘 없이 탁 트인 뷰, 즉시입주 가능","['10년이내', '소형평수', '방세개']",,송파구 오금동
2426858779,일반상가,상가,월세,전체층/4,500,45,500,29,23.1,남서향,37.50425,127.135119,무권리점포 가성비 좋음,"['25년이상', '관리비10만원이하', '주차가능', '총4층']",,송파구 오금동
2426813200,일반상가,상가,월세,1/4,1200,70,"1,200",32,30,남서향,37.503888,127.137668,"오금동 사거리 대로변 코너자리, 저렴한 좋은 상권.","['25년이상', '융자금없는', '1층', '관리비10만원이하']",,송파구 오금동
2426854871,상가주택,상가주택,월세,1/3,1000,50,"1,000",35,29,남향,37.500175,127.137018,수리됨 빠른입주가능,"['25년이상', '융자금없는', '역세권', '1층']",,송파구 오금동
2426890982,다가구,단독/다가구,월세,3/4,10000,70,1억,123,61,남향,37.502433,127.135314,"전체 올수리 리모델링함 큰방3, 분리주방 큰 거실, 통베란다","['25년이내', '융자금없는', '올수리', '방세개']",,송파구 오금동
2426706920,송파더플래티넘,아파트,전세,9/16,63000,0,"6억 3,000",89,66.94,남향,37.503122,127.135874,"신축 첫입주, 남향, 방 3, 화 2, 시스템에어컨, 즉시입주.","['2년이내', '방세개', '화장실두개']",102동,송파구 오금동
2426706431,송파더플래티넘,아파트,전세,9/16,70000,0,7억,138,106.23,동향,37.502546,127.135938,"신축 첫입주, 성내천조망, 풀시스템에어컨, 방 3, 화 2, 즉시입주","['2년이내', '융자금없는', '대형평수']",101동,송파구 오금동
2426853152,상가주택,상가주택,월세,2/3,5000,60,"5,000",35,29,남향,37.500175,127.137018,즉시입주가능,"['25년이상', '역세권', '소형평수', '방두개']",,송파구 오금동
2426863424,빌라,빌라,매매,고/4,35000,0,"3억 5,000",60,55.26,남서향,37.504597,127.136148,수리되어 상태좋음 입주협의,"['25년이상', '소형평수', '방세개', '화장실한개']",,송파구 오금동
2426804265,송파더플래티넘,아파트,전세,16/16,90000,0,9억,138,106.23,남향,37.502546,127.135938,시스템에어컨등 특올수리 방2 붙박이장설치 바로 입주,"['2년이내', '올수리', '대형평수', '탑층']",101동,송파구 오금동
2426629556,상가주택,상가주택,전세,3/5,17000,0,"1억 7,000",50,47,남동향,37.506299,127.135041,입주협의 가성비좋음,"['25년이상', '소형평수', '방두개', '화장실한개']",,송파구 오금동
2426691681,송파레미니스2단지,아파트,전세,2/23,68000,0,"6억 8,000",124,84.82,남서향,37.507022,127.137953,"중앙공원 조망,융자무","['10년이내', '융자금없는', '방세개']",203동,송파구 오금동
2426667193,중소형사무실,사무실,월세,2/6,2000,100,"2,000",162,82.64,남향,37.50348,127.137794,오금동사거리 깔끔한 대로변 뷰,"['25년이내', '지상층(1층제외)', '관리비10만원이하', '주차가능']",,송파구 오금동
2426678308,빌딩,건물,매매,6/B2,1500000,0,150억,517,2189.91,,37.506928,127.132897,대로변 용적률초과 개발호재 리모델링 추천 주차우수,['25년이상'],,송파구 오금동
2426716358,오금반석블레스빌,아파트,매매,3/15,83900,0,"8억 3,900",103,83.15,남동향,37.501527,127.132878,,"['25년이내', '방세개', '화장실두개']",1동,송파구 오금동
2426720752,중소형사무실,사무실,월세,2/4,5000,300,"5,000",268,231,서향,37.504688,127.138255,"전용70, 룸인테리어","['25년이상', '융자금적은', '중층', '주차가능']",,송파구 오금동
2425085369,중소형사무실,사무실,월세,4/7,3000,200,"3,000",147,109.09,서향,37.507068,127.132988,33전용 O 사무실 인테리어 굿 O 오금역 대로변 O,"['25년이내', '중층', '주차가능']",,송파구 오금동
2426561066,송파더플래티넘,아파트,월세,8/16,1000,65,"1,000",138,106.23,서향,37.503122,127.135874,"신축 아파트, 세대분리형 원룸, 풀옵션, 즉시입주","['2년이내', '세대분리', '대형평수']",102동,송파구 오금동
2426513507,매그놀리아,아파트,매매,4/6,72000,0,"7억 2,000",91,80.09,남동향,37.50647,127.13256,"급 매매 , 편리한 주차, 엘리베이터유, 입주가능","['25년이내', '급매', '방세개', '화장실두개']",1동,송파구 오금동
2427517161,중소형사무실,사무실,월세,3/4,3000,120,"3,000",130,123,남서향,37.500147,127.136699,"개롱역, 송파도서관 인근 시인성 좋은 대로변 코너 자리 뭘 해도 좋은 곳","['25년이상', '융자금없는', '역세권', '고층']",,송파구 오금동
2427519035,일반상가,상가,월세,1/4,3000,140,"3,000",50,43,남서향,37.500351,127.136893,"무권리, 6차선 대로변 유동인구 많은 1층 상가","['25년이상', '융자금없는', '역세권', '1층']",,송파구 오금동
2426479057,빌라,빌라,매매,2/6,34000,0,"3억 4,000",32,25.76,남동향,37.504204,127.135709,오주중 인근 최저가 투룸 준신축빌라 매매 입주협의,"['4년이내', '화장실한개', '소형평수']",,송파구 오금동
2426438943,빌라,빌라,매매,3/6,32000,0,"3억 2,000",37,29.98,남동향,37.504083,127.13367,"신축3년 오금공원인접 숲세권, 성내천, 송파도서관, 곰두리쳬육관","['10년이내', '소형평수', '방두개', '화장실한개']",,송파구 오금동
